,Nr. Crt.,Nume,Cod A.N.M.C.S.,Judet,Clasificare,TIP USP (in functie de specificul patologiei tratate),TIP USP (in functie de regimul proprietatii),TIP USP (din punct de vedere al invatamantului si al cercetarii stiintifice medicale),Adresa completa a sediului principal,Adresa email oficiala,Website,Autoritatea tutelara,Acreditare ciclul I,Acreditare ciclul II,,__1,__2
394,395,SPITALUL CLINIC JUDETEAN DE URGENTA �SF. APOSTOL ANDREI� CONSTANTA,A7047,Constanta,I,urgenta,public,clinic cu sectii universitare,"B-dul TOMIS 145, CONSTANTA",secretariat@spitalulconstanta.ro,www.spitalulconstanta.ro,CONSILIUL JUDETEAN CONSTANTA,Acreditat,Categoria IV Acreditat cu incredere redusa,,,
395,396,SPITALUL JUDETEAN DE URGENTA RESITA,A7100,Caras-Severin,III,urgenta,public,fara invatamant,"Piata 1 Decembrie 1918, nr. 1, Resita, Jud Caras-Severin",sju.resita@gmail.com,www.spitaluljudeteanresita.ro,Consiliul Judetean Caras-Severin,Acreditat,Categoria IV Acreditat cu incredere redusa,,,
396,397,SPITALUL ORASENESC CERNAVODA,A7101,Constanta,IV,general,public,fara invatamant,str. Ovidiu nr.11,spitalcernavoda@yahoo.com; secretariat@spitalulcernavoda.ro,www.spitalul-cernavoda.ro,Unitatea Administrativ Teritoriala Cernavoda,Acreditat,Categoria VI Neacreditat,,,
397,398,SPITALUL CLINIC JUDETEAN DE URGENTE SF. SPIRIDON IASI,A7102,Iasi,II,urgenta,public,clinic cu sectii universitare,"Ministerul - Strada Cristian Popi?teanu, nr. 1-3, sector 1, cod 010024, Bucure?ti. DSP Iasi - Strada Vasile Conta",contact@spitalspiridon.ro,www.spitalspiridon.ro,Ministerul Sanatatii - Directia de Sanatate Publica Iasi,Acreditat,Categoria III Acreditat cu rezerve,,,
398,399,SPITALUL DE RECUPERARE CARDIOVASCULARA DR.BENEDEK GEZA,A7103,Covasna,IV,specialitate,public,fara invatamant,"Strada Cristian Popi?teanu, nr. 1-3, sector 1, cod 010024, Bucure?ti",cardiologie@cardiologie-covasna.ro,cardiologiecovasna.ro,MINISTERUL SANATATII PUBLICE,Acreditat,Categoria V Decizie de prelungire a procesului de acreditare,,,
399,400,SPITALUL PROVIDENTA IASI,A7104,Iasi,IV,general,privat,fara invatamant,Str Stefan cel Mare si sfant nr.16,spital_providenta@yahoo.com,www.providentamedical.ro,MITROPOLIA MOLDOVEI SI BUCOVINEI - ARHIEPISCOPIA IASILOR,Acreditat,Categoria II Acreditat cu recomandari,,,
400,401,SPITALUL ORASENESC SANNICOLAU MARE,A7105,Timis,IV,general,public,fara invatamant,STR REPUBLICII NR 15 SANNICOLAU MARE JUD TIMIS,spital@spsnm.ro,www.spsnm.ro,PRIMARIA ORASULUI SANNICOLAU MARE,Acreditat,Categoria III Acreditat cu rezerve,,,
401,402,SPITALUL CLINIC DE BOLI INFECTIOASE CONSTANTA,A7106,Constanta,II M,specialitate,public,clinic cu sectii universitare,"Bd.Tomis, nr.51,Constanta",contact@infectioaseconstanta.ro,WWW.infectioaseconstanta.ro,Primaria Municipiului Constanta,Acreditat,Categoria II Acreditat cu recomandari,,,
402,403,SPITALUL CLINIC DE RECUPERARE MEDICALA BAILE FELIX,A7107,Bihor,II M,specialitate,public,clinic cu sectii universitare,"STR. CRISTRIAN POPISTEANU NR. 1-3, SECTOR 1, BUCURESTI, COD 010024",spital_felix@yahoo.com,www.spitalfelix.ro,MINISTERUL SANATATII,Acreditat,Categoria II Acreditat cu recomandari,,,
403,404,SPITALUL MUNICIPAL DEJ,A7108,Cluj,IV,general,public,fara invatamant,"STR. 1 MAI NR. 2, Loc Dej, Jud. Cluj",spital_dej@yahoo.com,www.spitaldej.ro,Primaria Dej,Acreditat,Categoria III Acreditat cu rezerve,,,
404,405,"SPITALUL MUNICIPAL ""SF. DOCTORI COSMA SI DAMIAN"" RADAUTI",A7109,Suceava,IV,general,public,fara invatamant,"RADAUTI, PIATA UNIRII, NR 2-4",spitalradauti@yahoo.com,www.spitalul-radauti.ro,UNITATEA ADMINISTRATIV TERITORIALA,Acreditat,Categoria III Acreditat cu rezerve,,,
405,406,MED LIFE SA,A7110,Bucuresti,III,general,privat,fara invatamant,NU EXISTA,office@medlife.ro,www.medlife.ro,privat,Acreditat,Categoria II Acreditat cu recomandari,,,
406,407,SPITALUL ORASENESC HARSOVA,A7111,Constanta,IV,general,public,fara invatamant,"str. Piata 1 Decembrie 1918, nr. 1, Harsova, jud. Constanta",secretariat@spitalharsova.ro,www.spitalharsova.ro,Primaria orasului Harsova,Acreditat,Categoria VI Neacreditat,,,
407,408,"INSTITUTUL INIMII DE URGENTA PENTRU BOLI CARDIOVASCULARE ""NICULAE STANCIOIU"" CLUJ-NAPOCA",A7112,Cluj,I M,urgenta,public,institut,"Bucuresti, str. Cristian Popisteanu nr. 1-3, cod 010024, sector 1,",office@institutulinimii.ro,www.institutulinimii.ro,Ministerul Sanatatii,Acreditat,Categoria II Acreditat cu recomandari,,,
408,409,SPITALUL MILITAR DE URGENTA DR. ION JIANU PITESTI,A7113,Arges,III,urgenta,public,fara invatamant,"Bucuresti, Str.Institutul Medico-Militar, nr.3-5, sect.1, cod 010919",smupitesti2001@yahoo.com,www.smupitesti.ro,Directia Medicala a Ministerului Apararii Nationale,Acreditat,Categoria II Acreditat cu recomandari,,,
409,410,PENITENCIAR SPITAL POARTA ALBA,A7114,Constanta,III,general,public,fara invatamant,"str. Maria Ghiculeasa, nr. 47, sector 2, Bucuresti",sppalba@anp.gov.ro,www.anp.gov.ro,Administratia Nationala a Penitenciarelor,Acreditat,Categoria III Acreditat cu rezerve,,,
410,411,SPITALUL MUNICIPAL TOPLITA,A7115,Harghita,IV,general,public,fara invatamant,"Toplita, b-dul Nicolae Balcescu, nr. 14, jud. Harghita, cod postal 535700",secretariat@spitaltoplita.ro,www.spitaltoplita.ro,PRIMARIA MUNICIPIULUI TOPLITA,Acreditat,Categoria II Acreditat cu recomandari,,,
411,412,SPITALUL DE PSIHIATRIE MURGENI,A7116,Vaslui,V,specialitate,public,fara invatamant,"str. Ghenuta Coman ,nr.12 oras Murgeni judet Vaslui",spital.murgeni@gmail.com,spitalulmurgeni.ro,CONSILIUL LOCAL MURGENI,Acreditat,Categoria IV Acreditat cu incredere redusa,,,
412,413,SPITALUL ORASENESC TG. BUJOR,A7117,Galati,IV,general,public,fara invatamant,"STR. EROILOR, NR. 7, GALATI, COD 800119",spitaltgbujor@yahoo.com,http://www.spitaltgbujor.ro,CONSILIUL JUDETEAN GALATI,Acreditat,Categoria VI Neacreditat,,,
413,414,SPITALUL MUNICIPAL VULCAN,A7118,Hunedoara,IV,general,public,fara invatamant,"Bulevardul Mihai Viteazul, nr. 31, Vulcan, cod postal 336200",secretariat@spitalvulcan.ro,spitalvulcan.ro,CONSILIUL LOCAL VULCAN,Acreditat,Categoria VI Neacreditat,,,
414,415,SPITALUL GENERAL C.F. SIBIU,A7119,Sibiu,IV,general,public,fara invatamant,"Bulevardul Dinicu Golescu nr. 38, Sector 1, 010873, Bucure?ti",spitalcfsibiu@gmail.com,http://www.spitalcfsibiu.ro/,MINISTERUL TRANSPORTURILOR sI INFRASTRUCTURII,Acreditat,Categoria II Acreditat cu recomandari,,,
415,416,S.C. NOVA VITA HOSPITAL S.A.,A7120,Mures,IV,general,privat,fara invatamant,"STR.TUDOR VLADIMIRESCU, NR.376A",OFFICE@NOVA-VITA.RO,WWW.NOVA-VITA.RO,privat,Acreditat,Categoria II Acreditat cu recomandari,,,
416,417,SPITALUL ORASENESC BAIA DE ARAMA,A7121,Mehedinti,IV,general,public,fara invatamant,"Str. Tudor Vladimirescu, nr. 23",spitalulbaiadearama@gmail.com,www.spitalbaiadearama.ro,Consiliul Local Baia de Arama,Acreditat,Categoria IV Acreditat cu incredere redusa,,,
417,418,SPITALUL MUNICIPAL ODORHEIU SECUIESC,A7122,Harghita,III,general,public,fara invatamant,"ODORHEIU SECUIESC, PIAtA PRIMaRIEI NR. 5, 535600",secretariat.odorhei@gmail.com,http://hospital-odorhei.ro/,CONSILIUL LOCAL,Acreditat,Categoria III Acreditat cu rezerve,,,
418,419,SPITALUL DE PSIHIATRIE SAPUNARI,A7123,Calarasi,V,specialitate,public,fara invatamant,"Strada 1 Decembrie 1918 1, Calarasi 910019",sp_sapunari@yahoo.com,www.sp_sapunari.ro,CONSILIUL JUDEtEAN CaLaRAsI,Acreditat,Categoria IV Acreditat cu incredere redusa,,,
419,420,SPITALUL ORASENESC HOREZU,A7124,Valcea,IV,general,public,fara invatamant,"HOREZU, STR 1 DECEMBRIE , NR7, JUDET VALCEA",spitalul_horezu@yahoo.com,www.spitalulhorezu.ro,PRIMARIA ORASULUI HOREZU,Acreditat,Categoria II Acreditat cu recomandari,,,
420,421,SPITALUL DE PSIHIATRIE GATAIA,A7125,Timis,V,specialitate,public,fara invatamant,"Strada Cristian Popi?teanu, nr. 1-3, sector 1, cod 010024, Bucure?ti",spitalgataia.tm@gmail.com,http://www.spitalgataia.ro/,Ministerul Sanatatii,Acreditat,Categoria III Acreditat cu rezerve,,,
421,422,SPITALUL DE PSIHIATRIE TITAN ''DR. CONSTANTIN GORGOS'',A7126,Bucuresti,V,specialitate,public,fara invatamant,"Str. Sf. Ecaterina nr.3, sector 4, Bucuresti",constantingorgos@yahoo.com,www.spitalulgorgos.ro,ADMINISTRATIA SPITALELOR SI SERVICIILOR MEDICALE BUCURESTI,Acreditat,Categoria IV Acreditat cu incredere redusa,,,
422,423,SPITALUL CLINIC DE URGENTA PENTRU COPII CLUJ NAPOCA,A7127,Cluj,II M,urgenta,public,clinic cu sectii universitare,str. Dorobantilor nr. 106,office@spitcocluj.ro,www.spitcocluj.ro,Consiliul Judetean Cluj,Acreditat,Categoria IV Acreditat cu incredere redusa,,,
423,424,SPITALUL CLINIC JUDETEAN DE URGENTA TARGU MURES,A7128,Mures,I,urgenta,public,clinic cu sectii universitare,"BUCUREsTI, STR. CRISTIAN POPIsTEANU, NR. 1-3, SECTOR 1, COD 010024",secretariat@spitalmures.ro,http://www.spitalmures.ro,MINISTERUL SaNaTatII,Acreditat,Categoria IV Acreditat cu incredere redusa,,,
424,425,S.C. MUNTENIA MEDICAL COMPETENCES S.A,B001,Arges,V,general,privat,fara invatamant,"Arges, Pitesti, Str. Pictor N Grigorescu nr. 2 A",office@munteniahospital.ro,www.munteniahospital.ro,Muntenia Medical Competences S.A,-,Categoria II Acreditat cu recomandari,,,
425,426,SPITALUL MUNICIPAL CODLEA,B002,Brasov,V,general,public,fara invatamant,"CODLEA, STR. LUNGA NR. 33",spitalulcodlea@yahoo.com,www.spitalulcodlea.ro,CONSILIUL LOCAL CODLEA,-,Categoria III Acreditat cu rezerve,,,
426,427,SOCIETATEA CENTRUL MEDICAL POLICLINICO DI MONZA SRL,B004,Bucuresti,V,general,privat,clinic cu sectii universitare,str. Tony Bulandra nr.27,secretariat@spitalulmonza.ro,www.spitalulmonza.ro,SC CENTRUL MEDICAL POLICLINICO DI MONZA SRL,-,Categoria II Acreditat cu recomandari,,,
427,428,SOCIETATEA RAPITEST CLINICA SRL,B005,Valcea,V,general,privat,fara invatamant,"RM. VaLCEA, STR. OLaNESCU, NR.11, JUD. VaLCEA",clinica@rapitest.ro,www.rapitest.ro,SC RAPITEST CLINICA SRL,-,Categoria II Acreditat cu recomandari,,,
428,429,MEDICOVER HOSPITALS SRL,B007,Bucuresti,IV,general,privat,fara invatamant,"STR. PECHEA, NR.8, SECTOR 1, BUCURESTI",spitalulmedicover@medicover.ro,www.medicover.ro,MEDICOVER HOSPITALS SRL,-,Categoria II Acreditat cu recomandari,,,
429,430,SOCIETATEA CLINICILE ICCO SRL,B008,Brasov,II M,specialitate,privat,fara invatamant,"Str.Scolii nr.8, Brasov, jud.Brasov",office@clinicco.ro,www.clinicco.ro,SC CLINICILE ICCO SRL,-,Categoria II Acreditat cu recomandari,,,
430,431,ONCO CARD SRL - CENTRUL DE DIAGNOSTIC ?I TRATAMENT ONCOLOGIC,B009,Brasov,V,specialitate,privat,fara invatamant,"Str.Carierei nr.65 A, Brasov, jud.Brasov",office@oncocard.ro,www.oncocard.ro,ONCO CARD SRL - CENTRUL DE DIAGNOSTIC ?I TRATAMENT ONCOLOGIC,-,Categoria II Acreditat cu recomandari,,,
431,432,FUNDATIA DR. VICTOR BABES,B010,Bucuresti,IV,general,privat,fara invatamant,NU SE APLICA,centru@cdt-babes.ro,www.cdt-babes.ro,privat,-,Categoria II Acreditat cu recomandari,,,
432,433,SPITALUL ORA?ENESC TANDAREI,B011,Ialomita,IV,general,public,fara invatamant,"sos. Bucuresti, nr. 190, Oras tandarei, Judet Ialomita, 925200",spitaltandarei@gmail.com,www.spitaltandarei.ro,UNITATEA ADMINISTRATIV TERITORIALA TANDAREI,-,Categoria II Acreditat cu recomandari,,,
433,434,S.C. CLINICA MEDICALA �HIPOCRAT 2000� SRL UNITATE SANITARA PRIVATA CU PATURI (SEDIUL RAHOVA),B013,Bucuresti,Neclasificat,general,privat,fara invatamant,"BULEVARDUL CHISINAU, NR. 16, BLOC M7, PARTER, SECTOR 2, BUCURESTI",hipocrat_2000@yahoo.com,www.hipocrat2000.ro,S.C. CLINICA MEDICALA �HIPOCRAT 2000� SRL,-,Categoria II Acreditat cu recomandari,,,
434,435,FUNDATIA �BUCURIA AJUTORULUI� - CENTRU MEDICAL DE INGRIJIRI PALIATIVE,B014,Bucuresti,V,pentru bolnavi cu afectiuni cronice,privat,fara invatamant,"Bucuresti, sector 4, str. Piscului, nr. 1, et 1",bucuria.ajutorului@gmail.com,http://bucuria-ajutorului.ro/,Arhiepiscopia Bucurestilor - Sectorul Social Filantropic si Misionar,-,Categoria II Acreditat cu recomandari,,,
435,436,SOCIETATEA DENTIRAD HOSPITAL SRL,B015,Prahova,V,specialitate,privat,fara invatamant,"PLOPENI, BD REPUBLICII, NR 11A, JUD PRAHOVA",office@dentirad.ro,www.dentirad.ro,SC DENTIRAD HOSPITAL SRL,-,Categoria VI Neacreditat,,,
436,437,SPITALUL ORASENESC BUMBESTI-JIU,B016,Gorj,IV,general,public,fara invatamant,"Str. Parangului,Nr.101,Bumbesti-Jiu,Judetul Gorj",spitalul_bumbesti_jiu@yahoo.com,www.spitalbumbesti-jiu.ro,CONSILIUL LOCAL AL ORAsULUI BUMBEsTI-JIU,-,Categoria II Acreditat cu recomandari,,,
437,438,SOCIETATEA CARDIOREC SRL,B017,Ilfov,V,specialitate,privat,fara invatamant,"Milano, Via Giuseppe Zucchi, 18, Italia",office@cardiorec.com,www.cardiorec.com,ISTITUTO AUXOLOGICO ITALIANO,-,Unitate aflata in proces de acreditare,,,
438,439,SPITALUL OXXYGENE MED PLUS SRL,B018,Ilfov,V,pentru bolnavi cu afectiuni cronice,privat,fara invatamant,OTOPENI STR PETRE ISPIRESCU NR 6,adrianstanescu@oxxygene.ro,ww.oxxygene.ro,SC OXXYGENE MED PLUS SRL,-,Categoria III Acreditat cu rezerve,,,
439,440,VITALMED CENTER SRL � UNIT. SANITARA PRIVATA PATURI,B019,Brasov,V,specialitate,privat,fara invatamant,"STR. LUNGA NR.18-20, 500058, BRASOV, Jud. BRASOV",office@vitalmed-brasov.ro,www.vitalmed-brasov.ro,VITALMED CENTER SRL � UNIT. SANITARA PRIVATA PATURI,-,Categoria III Acreditat cu rezerve,,,
440,441,SOCIETATEA DARIUS MEDICAL CENTER SRL,B020,Prahova,V,pentru bolnavi cu afectiuni cronice,privat,fara invatamant,"PLOPENI, STR. PACII, NR.10-12",dariusmedicalcenter@yahoo.com,www.dariusmedical.ro,SC DARIUS MEDICAL CENTER SRL,-,Categoria II Acreditat cu recomandari,,,
441,442,FUNDATIA SF. IRINA - CENTRU DE INGRIJIRI PALIATIVE,B021,Ilfov,V,pentru bolnavi cu afectiuni cronice,privat,fara invatamant,"STR, ER. MR. MARINESCU",sfantairina@gmail.com,www.sfantairina.ro,FUNDATIA SFANTA IRINA,-,Unitate aflata in proces de acreditare,,,
442,443,SOCIETATEA COMERCIALA CLINICA SOMESAN SRL BAIA MARE,B022,Maramures,V,specialitate,privat,fara invatamant,"- BUCURESTI, SECTOR 1, STR. ION IONESCU de la BRAD, NR. 5B",managementsomesan@reginamaria.ro,www.clinicasomesan.ro,"- SC CENTRUL MEDICAL UNIREA SRL ""REGINA MARIA"" BUCURESTI",-,Categoria II Acreditat cu recomandari,,,
443,444,SOCIETATEA SPITAL LOTUS SRL,B023,Prahova,V,specialitate,privat,fara invatamant,"BUCURESTI, Sector 1, Calea Grivitei, nr 365",office@spital-lotus.ro,www.spital-lotus.ro,MED LIFE SA,-,Categoria III Acreditat cu rezerve,,,
444,445,SPITALUL DE OBSTETRICA GINECOLOGIE BUFTEA,B024,Ilfov,V,specialitate,public,fara invatamant,"Bucure?ti, str. Gh. Manu nr. 18, sector 1",office@spitalbuftea.ro,www.spitalbuftea.ro,Consiliul Judetean Ilfov,-,Categoria II Acreditat cu recomandari,,,
445,446,SOCIETATEA CIM MEDICAL SRL,B026,Bacau,Neclasificat,specialitate,privat,fara invatamant,"Comanbesti, str. Avram Iancu, nr.2/22, jud.Bacau",cim.medical@yahoo.com,cimmedical.ro,CIM MEDICAL SRL,-,Categoria II Acreditat cu recomandari,,,
446,447,TVM MED SERV SRL,B027,Cluj,Neclasificat,specialitate,privat,fara invatamant,str. General Traian Mo?oiu nr. 38A,office@doctortantau.ro,www.doctortantau.ro,TVM MED SERV SRL,-,Categoria II Acreditat cu recomandari,,,
447,448,S.C. CENTRUL MEDICAL SFANTA MARIA S.R.L.,B028,Timis,V,specialitate,privat,fara invatamant,"Str. Romulus, nr. 62",spitalsfantamaria@yahoo.com,www.spitalsfantamaria.ro,SC CENTRUL MEDICAL SFANTA MARIA SRL,-,Categoria VI Neacreditat,,,
448,449,S.C. NATISAN MEDICINA GENERALA S.R.L.,B029,Arges,Neclasificat,specialitate,privat,fara invatamant,"GAVANA III, BL M3A, PARTER, PITESTI, ARGES",cmnatisan@yahoo.com,www.natisan.ro,SC NATISAN MEDICINA GENERALA SRL,-,Unitate aflata in proces de acreditare,,,
449,450,SOCIETATEA GTL MEDICAL CLINIC SRL,B031,Bacau,Neclasificat,general,privat,fara invatamant,Blvd. UNIRII NR.24 Oras Bacau Jud. Bacau,gtlmedicalclinic@yahoo.com,www.gtlmedicalclinic.ro,SC GTL MEDICAL CLINIC SRL,-,Categoria III Acreditat cu rezerve,,,
450,451,SPITALUL ORASENESC STEI,B032,Bihor,V,general,public,fara invatamant,"STR.ANDREI MURESANU, NR. 4B",spitalstei@yahoo.com,spitalstei.ro,PRIMARIA ORAS STEI,-,Categoria II Acreditat cu recomandari,,,
451,452,SOCIETATEA TOP MED BUNAVESTIRE SRL,B033,Dolj,V,afectiuni cronice,privat,fara invatamant,"Str .Calea Unirii nr.90,Craiova,jud Dolj",contact@policlinicabunavestire.ro,http://www.spitalbunavestire.ro,Consiliul de Administratie,-,Categoria II Acreditat cu recomandari,,,
452,453,SOCIETATEA POLICLINICA CENTRALA DR. VLAESCU SRL,B035,Dolj,Neclasificat,specialitate,privat,fara invatamant,"Bd. 1 Mai nr. 24, CP 200638, Craiova, Dolj",spital.vlaescu@yahoo.ro,http://www.policlinicavlaescu.ro,POLICLINICA CENTRALA DR VLAESCU,-,Categoria II Acreditat cu recomandari,,,
453,454,SPITAL BOLI CRONICE CALINESTI CU AMBULATORIU INTEGRAT,B036,Arges,V,pentru bolnavi cu afectiuni cronice,public,fara invatamant,"PIATA VASILE MILEA , NR. 1 , PITESTI , ARGES",spitalulcalinesti@yahoo.com,www.spitaluldebolicronicecalinesti.ro,CONSILIUL JUDETEAN ARGES,-,Categoria II Acreditat cu recomandari,,,
454,455,S.C. WIA KINETO-DENT S.R.L.,B037,Prahova,V,afectiuni cronice,privat,fara invatamant,"MUN. PLOIESTI, STR. MALU ROSU, NR. 100, BL. 35A, AP. 10, PRAHOVA",wiakinetodent2007@yahoo.com,www.wiakinetodent.ro,S.C WIA KINETO DENT S.R.L,-,Categoria II Acreditat cu recomandari,,,
455,456,CLINICA SANOVIL SRL,B038,Bistrita-Nasaud,IV,specialitate,privat,fara invatamant,"Str. VIISOARA NR.263, BISTRITA, BISTRITA NASAUD",prosanovil@yahoo.com,http://www.sanovil.ro/,Sc. CLINICA SANOVIL SRL,-,Categoria II Acreditat cu recomandari,,,
456,457,SOCIETATEA MATERNA CARE SRL,B039,Timis,IV,specialitate,privat,fara invatamant,"STRADA VALERIU BRANIsTE, NR. 5, AP.2",office@spitalpremiere.com,www.spitalulpremiere.ro,privat,-,Categoria II Acreditat cu recomandari,,,
457,458,ASOCIATIA CENTRU REZIDENTIAL PENTRU VARSTNICI MARIA,B040,Brasov,V,pentru bolnavi cu afectiuni cronice,privat,fara invatamant,"STR. MOLIDULUI, NR. 11, BL. B 15, SC. B, ET. 3, AP. 15, BRASOV,JUD.BRASOV",contact@centrulmariabrasov.ro,www.centrulmariabrasov.ro,ASOCIAtIA CENTRU REZIDENtIAL PENTRU VaRSTNICI MARIA,-,Categoria II Acreditat cu recomandari,,,
458,459,CENTRU MEDICAL DR. MICU VASILE,B041,Iasi,V,pentru bolnavi cu afectiuni cronice,privat,fara invatamant,STR. ALBINET NR.12A,prisecaru_tamara@yahoo.com,asociatiadrmicuvasile.ro,"ASOCIATIA ""DR.MICU VASILE",-,Categoria II Acreditat cu recomandari,,,
459,460,DIAGNOST S.R.L.,B043,Constanta,V,specialitate,privat,fara invatamant,"Constanta, Blvd. 1 Decembrie 1918 nr. 21",alina.apostol@hekahospital.com,www.hekahospital.com,SC DIAGNOST SRL,-,Categoria II Acreditat cu recomandari,,,
460,461,SOCIETATEA MOGOS MED SRL,B044,Dolj,V,general,privat,fara invatamant,"DOLJ, CRAIOVA, STR. IMPARATUL TRAIAN, NR.20",office@mogosmed.ro,www.mogosmed.ro,SC MOGOS MED SRL,-,Categoria III Acreditat cu rezerve,,,
461,462,SOCIETATEA MEDICAL CENTER SPITAL SRL,B046,Tulcea,V,pentru bolnavi cu afectiuni cronice,privat,fara invatamant,"TOPLITA,STR. VICTOR BABES, NR. 3, JUD. HARGHITA",medicalcenter_spital@yahoo.com,medicalcenterspitaltulcea.ro,privat,-,Categoria II Acreditat cu recomandari,,,
462,463,SOCIETATEA MEDETIL SRL - CLINICA '' MEDETIL '',B047,Bihor,Neclasificat,general,privat,fara invatamant,"Str.Olimpiadei nr.14,Oradea,Bihor",medetil@yahoo.com,www.medetil.ro,AGA - SC MEDETIL SRL,-,Categoria VI Neacreditat,,,
463,464,SPITAL OBSTETRICA - GINECOLOGIE �SC EUCLID SRL�,B048,Bihor,V,specialitate,privat,fara invatamant,"LOC.ORADEA, STR.NICOLAE JIGA NR.15",marcelacanalas@yahoo.com,www;clinicaeuclid.ro,PROF.DR.CRAIUT DORU IOAN,-,Categoria II Acreditat cu recomandari,,,
464,465,SOCIETATEA CENTRUL MEDICAL LAURA CATANA SRL,B049,Alba,V,specialitate,privat,fara invatamant,"PETRESTI, STR M. EMINESCU NR. 67",laura.catana@doctor-psi.ro,www.doctor-psi.ro,S.C. CENTRUL MEDICAL LAURA CATANA S.R.L.,-,Categoria II Acreditat cu recomandari,,,
465,466,SPITALUL ORASENESC CISNADIE,B051,Sibiu,IV,general,public,fara invatamant,REVOLUTIEI NR.1,spital@socisnadie.ro,socisnadie.ro,PRIMARIA ORAS CISNADIE,-,Categoria II Acreditat cu recomandari,,,
466,467,CLINICILE ICCO ORTOPEDIE SRL,B052,Brasov,V,specialitate,privat,fara invatamant,"Str.Scolii nr.8, Brasov, jud.Brasov",ortopedie@clinicco.ro,www.clinicco.ro,SC CLINICILE ICCO ORTOPEDIE SRL,-,Categoria III Acreditat cu rezerve,,,
467,468,S.C. CENTRUL DE DIAGNOSTIC SI TRATAMENT OB-GYN S.R.L.,B053,Dolj,Neclasificat,specialitate,privat,fara invatamant,"STR.DEZROBIRII, NR.123",ob_gyn.2007@yahoo.com,www.ob-gyn.ro,S.C. CENTRUL DE DIAGNOSTIC SI TRATAMENT OB-GYN S.R.L.,-,Categoria II Acreditat cu recomandari,,,
468,469,SOCIETATEA CENTRUL MEDICAL UNIREA SRL,B054,Dolj,Neclasificat,general,privat,fara invatamant,"BUCURESTI, BLVD ION IONESCU DE LA BRAD NR 5B",razvan.vaduva@reginamaria.ro,www.reginamaria.ro,CENTRUL MEDICAL UNIREA,-,Categoria II Acreditat cu recomandari,,,
469,470,OVIDIUS CLINICAL HOSPITAL SRL - UNITATE SANITARA PRIVATA,B055,Constanta,V,general,privat,fara invatamant,"DN2A, KM 202+880, Ovidiu jud. Constanta",office@ovidius-ch.ro,www.ovidius-ch.ro,S.C. Ovidius Clinical Hospital,-,Categoria II Acreditat cu recomandari,,,
470,471,SOCIETATEA CENTRUL MEDICAL PHOENIX SRL,B057,Dolj,V,specialitate,privat,fara invatamant,"str. Stefan cel Mare, nr. 80, Craiova, jud. Dolj",phoenix_medical@yahoo.com,www.phoenix-hospital.ro,Centrul Medical Phoenix SRL,-,Categoria II Acreditat cu recomandari,,,
471,472,"SOCIETATEA CENTRUL MEDICAL ""SF. STEFAN"" SRL",B059,Timis,Neclasificat,specialitate,privat,fara invatamant,"STRADA SAMUIL MICU NR. 9, CORP 1B",office@sfstefan.ro,www.sfstefan.ro,ADUNARE GENERALA A ASOCIATILOR,-,Categoria VI Neacreditat,,,
472,473,SC ONCOLAB SRL,B061,Dolj,Neclasificat,specialitate,privat,fara invatamant,Loc Craiova Jud Dolj Str. Bujorului nr.7,office@oncolab.ro,www.oncolab.ro,SC ONCOLAB SRL,-,Categoria II Acreditat cu recomandari,,,
473,474,SOCIETATEA ONCO-LIFE CENTER SRL,B062,Dolj,Neclasificat,specialitate,privat,fara invatamant,CALEA BUCURESTI NR.6,office@onco-life.ro,www.onco-life.ro,ONCO-LIFE CENTER,-,Categoria II Acreditat cu recomandari,,,
474,475,"SPITALUL DE BOLI CRONICE DOINAMED, DRAGOESTI",B063,Valcea,V,pentru bolnavi cu afectiuni cronice,privat,fara invatamant,"Ramnicul Valcea, str 1 mai nr 2, Judetul Valcea",clinicadoinamed@gmail.com,www.doinamed.ro,SC DOINAMED SRL,-,Categoria II Acreditat cu recomandari,,,
475,476,"SOCIETATEA PROMED SYSTEM SRL, SPITAL PRIVAT CU AMBULATORIU DE SPECIALITATE, LABORATOR FIV",B065,Bucuresti,V,specialitate,privat,fara invatamant,"Str. Benone Georgescu, nr.12A, Targoviste Dambovita",office@wellborn.ro,wellborn.ro,Consiliul de Administratie,-,Categoria II Acreditat cu recomandari,,,
476,477,CENTRUL DE ONCOLOGIE SF NECTARIE SRL,B066,Dolj,Neclasificat,specialitate,privat,fara invatamant,"STR. STEFAN CEL MARE, NR. 13",centruldeoncologie@yahoo.ro,http://www.romedic.ro/centruldeoncologiesfnectarie,CENTRUL DE ONCOLOGIE SF NECTARIE SRL,-,Unitate aflata in proces de acreditare,,,
477,478,SOCIETATEA BAU M.A.N. CONSTRUCT SRL,B067,Bucuresti,Neclasificat,specialitate,privat,fara invatamant,NU ESTE CAZUL / UNITATE PRIVATA,centrulmedicalbrancusi@yahoo.com,www.cmbrancusi.ro,privat,-,Categoria II Acreditat cu recomandari,,,
478,479,"SOCIETATEA CENTRUL MEDICAL MEDIURG S.R.L - SPITALUL PRIVAT DE RECUPERARE ""SFANTUL ANTON",B068,Prahova,V,specialitate,privat,fara invatamant,"PLOIESTI, STR. CLEMENTEI NR.43",office@mediurg.ro,www.mediurg.ro,CENTRUL MEDICAL MEDIURG,-,Categoria II Acreditat cu recomandari,,,
